ticker,1,0,2
AAPL,97219,97216,20
AMZN,97205,97195,55
GOOGL,97197,97183,75
META,97211,97204,40
MSFT,97217,97213,25
NFLX,96835,96829,55
NVDA,97184,97166,105
QQQ,97225,97225,5
SPY,97223,97223,5
TSLA,97141,97099,215
VXX,162,228,192911
