trial,d_model,ff_dim,num_layers,num_heads,dropout,epochs,lr,loss
0,64,256,2,2,0.2,3,0.0010698862641881463,0.00010321145152038888
1,64,64,2,2,0.1,5,0.00014198006806509907,0.00010267437199132383
2,32,128,2,2,0.2,4,0.0002336917954480694,9.847795855375014e-05
3,64,128,3,2,0.2,3,0.0005456363624497231,0.00010215868512909408
